Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Take Profit,Position Size,P&L,P&L %,Exit Reason,Signal Strength,Actual R/R
AAPL,2022-10-28,2022-11-02,153.49,143.22,143.22,168.9,19,-195.18,-6.69,stop_loss,61,1.0
AAPL,2022-11-03,2022-11-23,136.88,149.14,126.22,152.86,12,147.13,8.96,time_stop,50,1.15
AAPL,2022-11-18,2022-12-07,149.36,138.5,138.5,165.64,9,-97.69,-7.27,stop_loss,50,1.0
AAPL,2022-11-22,2022-12-07,148.26,138.31,138.31,163.19,7,-69.66,-6.71,stop_loss,65,1.0
AAPL,2023-03-16,2023-04-04,154.09,164.62,147.07,164.62,8,84.22,6.83,take_profit,63,1.5
AAPL,2023-03-20,2023-04-10,155.62,160.2,148.41,166.45,4,18.31,2.94,time_stop,50,0.63
AAPL,2023-03-27,2023-04-17,156.49,163.37,149.58,166.87,2,13.74,4.39,time_stop,50,0.99
AAPL,2023-05-05,2023-05-25,171.61,171.28,165.56,180.69,2,-0.67,-0.2,time_stop,73,0.06
AAPL,2023-05-10,2023-05-30,171.6,175.54,165.72,180.43,1,3.94,2.3,time_stop,50,0.67
AAPL,2023-06-01,2023-06-21,178.3,182.14,173.55,185.44,1,3.83,2.15,time_stop,50,0.81
