Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Take Profit,Position Size,P&L,P&L %,Exit Reason,Signal Strength,Actual R/R
TSLA,2023-04-04,2023-04-20,192.58,174.52,174.52,219.66,11,-198.61,-9.38,stop_loss,55,1.0
TSLA,2023-09-06,2023-09-26,251.92,244.12,229.28,285.88,6,-46.8,-3.1,time_stop,50,0.34
TSLA,2023-09-07,2023-09-27,251.49,240.5,228.61,285.8,5,-54.95,-4.37,time_stop,50,0.48
TSLA,2023-09-08,2023-09-28,248.5,246.38,225.2,283.45,4,-8.48,-0.85,time_stop,50,0.09
TSLA,2023-10-12,2023-10-18,258.87,242.68,239.68,287.65,3,-48.57,-6.25,signal_reversal,65,0.84
TSLA,2023-11-30,2023-12-20,240.08,247.14,219.54,270.89,2,14.12,2.94,time_stop,50,0.34
TSLA,2023-12-14,2024-01-03,251.05,238.45,233.23,277.78,2,-25.2,-5.02,time_stop,53,0.71
TSLA,2023-12-21,2024-01-03,254.5,237.51,237.51,279.98,2,-33.97,-6.67,stop_loss,50,1.0
TSLA,2023-12-22,2024-01-05,252.54,235.44,235.44,278.19,1,-17.1,-6.77,stop_loss,50,1.0
TSLA,2024-05-03,2024-05-23,181.19,173.74,160.72,211.9,1,-7.45,-4.11,time_stop,50,0.36
TSLA,2024-05-20,2024-06-07,174.95,177.48,162.15,194.16,1,2.53,1.45,signal_reversal,55,0.2
TSLA,2024-05-24,2024-06-07,179.24,177.48,165.37,200.05,1,-1.76,-0.98,signal_reversal,65,0.13
